Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"The Estee Lauder Companies Inc.","EL",".74034",".11","1.32","37.484","1.15","12.01793","1791","1249","1617","1720","2215","11824","13.88399","12.48","1.84769","1.08099","1.82",".71","41.519","12.91","4402","0","3383","2823","4964","3243","1479","1395","13.49","21.92","86.7","91.38","144.9","367.04","Cosmetics","Consumer Staples","NYSE","1.05","32.51","53183.8","153.11",".63","1.17","20180301","20.74","35.88","11.23","2.37","32.86","4.27","4.99","28.43","9.47","4.41","20170630","YES"
"Eastman Chemical Company","EMN",".12512",".14","2.08999","13.729","2.16","62.06089","1699","1384","1289","1530","2117","9549","7.4334","11.84","4.8667",".61242","1.72","1.12","52.89599","39.4","5480","0","6147","1982","3143","6900","1509","1386","7.25","10.71199","92.97","77.25","108.48","142.63","Chemical - Diversified ","Basic Materials","NYSE","2.06","12.65","15473.05","110.84","1.22","2.23","20180301","10.03","22.14","2.75","1.35","13.53",".07","6.01","12.72","3.6","8.02","20171231","YES"
"Emerson Electric Co.","EMR",".69058",".1","1.91999","3.51819","3.15","-7.15597","2343.34008","1518","2335","2500","3136","15264","9.85099","11.06","5.2449",".84126","1.3",".39","28.224","13.55","8770","0","3794","5045","8252","7206","1696","3072","9.3","16.90399","93.43","57.62","72.97","630.09","Manufacturing - Electronics","Industrial Products","NYSE","2.66","22.94","45977.68","74.05","1.19",".76","20180301","15.22","21.69","5.43","2.17","25.6","-10.32","-24.44","20.5","-7.56","2.85","20170930","YES"
"EOG Resources, Inc.","EOG",".39786",".23",".67","13.80399",".67","335.48983","4057.60498","2582.57006","661.17999","935.54998","4344.93017","11208.32","3.05789","10.17","4.6654",".41398","1.26",".36","26.499","29.09","16283.26953","0","6030.83007","2725.54003","3279.10009","0","483.85998","1710.84997","4.21","4.46089","100","83.15","126.15","578.86","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE",".59","26.3","73023.35","126.15","1.05","1.19","20180301","5.82","8.19","4.34","3.44","58.67","-11.87","46.5","328.2","-34.39","2.15","20171231","YES"
"Equinix, Inc.","EQIX","1.34607",".05","8","41.72999","1.16","83.73815","1299.90197","232.97999","286.82998","765.52001","1832.43994","4368.43","2.0912","10.22","",".24912","2.36","1.53","60.52199","89.87","6849.79003","0","9937.20019","1242.72998","2249.12011","6796.72998","0","576.30999","2.55","2.43219",".1","381.82","381.93","79.46","REIT and Equity Trust - Retail","Finance","NSDQ","2.39","18.39","30347.29","492.98",".51","5.21","20180301","2.83","7","4.25",".98","19.5","19.02","20.94","12.07","","19.59","20171231","YES"
"Equity Residential","EQR",".29305",".24","2.015","1.62479","3.12","-85.94065","1378.84301","603.45001","456","848.40997","1626.89001","2471.41","5.81199","26.83","",".12154",".19",".83","46.13299","28.48","10436.58007","37.27999","8957.29003","172.8","50.63999","0","0","0","3.26","6.0911","29.65","55.26","59.74","368.21","REIT and Equity Trust - Residential","Finance","NYSE","3.62","18.55","21997.09","70.37",".33",".77","20180301","3.39","6.41","2.1","3.1","18.84",".17","1.88","2.9","1.99","3.17","20171231","YES"
"EQT Corporation","EQT",".3553",".45",".11999","0",".17","433.02133","1364.75097","1508.52001","742.52001","945.28997","2033.78002","3378.01","2.07139","11.93","",".17618","1.07",".44","30.66099","63.52","18414.60937","0","7323.5498","1232.22998","1163.05004","2735.08007","0","725.22998","2.1","2.7516","38.56","45.73","53.94","265.49","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE",".22","29.14","14320.63","67.02",".7","1.01","20180301","2.52","3.45",".85","1.94","27.66","5.82","110.03","25.94","-28.6","1.95","20171231","YES"
"Eversource Energy","ES",".37306",".13","1.89999","6.63079","3.28","4.84877","1851.776","987.98999","1574.40002","1996.15002","2859.92993","7751.95","2.94109","12.58","14.83399",".2282",".68","1.07","52.115","35.29","11086.24023","0","11775.88964","3589.04003","2487.09008","4427.25976","223.05999","925.08001","2.87","4.67549","10.21","56.11","57.1","316.89","Utility - Electric Power","Utilities","NYSE","3.54","17.58","18094.18","65.81",".31",".85","20180301","4.54","9.04","1.62","3.06","18.18",".99","1.48","4.45","5.26","3.14","20171231","YES"
"Express Scripts Holding Company","ESRX",".15554",".05","0","","0","32.69298","5941.5","4517.3999","4929","5536.8999","7338.8999","100064.6","7.22809","4.33","45.006","1.9138",".69",".81","44.68099","32.84","18125.30078","0","14981.5","17846.40039","11957.0996","40725.60156","2124.8999","7056.2998","8.28","11.984","77.82","56.81","76.35","561.72","Medical Services","Medical","NSDQ","0","8.35","42887.4","81.92",".98","1.77","20180301","13.8","25.41","2.32",".96","10.1","-.93","-.22","28.72","13.66","7.56","20171231","YES"
"Essex Property Trust, Inc.","ESS","1.27098",".32","7","10.17199","2.81","4.35693","880.86901","433.04998","458.04","680.92999","1128.73999","1363.9","2.5469","23.83","",".10966","1.17",".88","47.013","98.3","6396.81982","0","5689.12011","127.5","162.05","0","0","0","2.61","2.63459","18.59","217.81","227.4","66.05","REIT and Equity Trust - Residential","Finance","NYSE","3.27","18.22","15018.91","269.39",".38","3.09","20180301","2.7","5.1","2.31","3.01","18.87","21.44","5.4","4.8","12.35","12.05","20171231","YES"
"E*TRADE Financial Corporation","ETFC",".03355",".26","0","","0","11.23188","887.54998","614","1064","1146","1408","2366",".74052","28.84","",".04087",".27",".31","21.63599","23.49","6242","689","1901","53733","14706","2654","0","12903","1.18","4.6069","100","33.39","64.85","263.91","Financial - Investment Bank","Finance","NSDQ","0","17.82","17114.55","64.85","1.29",".88","20180301","8.42","11.64","2.77","1.07","25.04","5.67","21.9","66.15","30.32","2.59","20171231","YES"
"Eaton Corporation, PLC","ETN",".34955",".15","2.4","8.60929","3.13","55.79331","2991.59008","2985","3368","3614","4528","20404","6.13129","10.25","5.49069",".64332","1.51",".4","28.34799","39.56","17290","0","7167","5075","8337","18833","2620","3943","6.59","8.49009","41.5","70.44","77.67","437.3","Manufacturing - Electronics","Industrial Products","NYSE","3.4","14.91","33965.09","87.86","1.37","1.1","20180301","9.04","12.77","1.96","1.51","16.22","-1.75","3.33","12","1.99","4.79","20171231","YES"
"Entergy Corporation","ETR",".23162",".04","3.5","1.5618","4.6","175.34986","3378.78198","425.35","967.91998","1675.13","3753.69995","11074.48","2.5713","11.93","7.8041",".24055",".7","1.96","65.64099","44.1","7992.50976","197.8","14337.26953","5036.20019","3285.33007","377.17001","905.85998","1212.94995","2.87","5.16779","27.53","72.02","76.26","180.82","Utility - Electric Power","Utilities","NYSE","4.67","11.84","13789.61","87.42",".45","1.16","20180301","5.81","16.19","1.73","1.69","10.33","-1.55","2.11","-10.56","5.55","7.38","20171231","YES"
"Envision Healthcare Corporation","EVHC","2.37674","-.02","0","","0","-1125.8064","751.20001","-228","-30.9","200.19999","651.40002","12177.5","2.82839","3.52","265.652",".55924","2.27",".65","40.346","58.53","7169.3999","0","6263.2998","1395.09997","4744.2998","11201.5996","22.7","1405.80004","1.97","3.4807","45.84","24.79","42.47","121.13","Medical - Outpatient and Home Healthcare","Medical","NYSE","0","11.65","5144.31","63.36",".43",".71","20180301","2.48","4.59",".73",".9","14.75","65.11","165.38","29.27","11.52","2.88","20171231","YES"
"Edwards Lifesciences Corporation","EW","1.0799",".17","0","","0","2.47585","901.59997","583.59997","1034.90002","1058.09997","1140","3435.3","14.22999","25.52","1.6552",".62247","2.07",".14","12.319","15.4","2956.19995","0","438.39999","1402.90002","2532.10009","1594.5","554.90002","462.20001","15.89","18.61199","84.11","101.38","135.83","210.78","Medical - Instruments","Medical","NYSE","0","29.45","28630.13","142.34",".64","1.22","20180301","23.08","28.6","8.82","2","33.29","13.42","15.91","21.36","25.02","4.08","20171231","YES"
"Exelon Corporation","EXC",".43071",".11","1.30999","1.71159","3.8","232.45149","8548.87011","3770","3756","5316","11316","33531","2.44799","8.26","15.60599",".29376","1.14","1.02","50.553","33.73","32132","0","32565","10796","11834","6677","1651","5533","2.43","4.69269","59.68","34.85","39.35","965.38","Utility - Electric Power","Utilities","NYSE","3.51","12.8","37987.78","42.39",".14",".96","20180301","4.5","9.17","1.17","2.54","13.57","7.14","6.92","18.22","1.28","2.9","20171231","YES"
"Expeditors International of Washington, Inc.","EXPD","1.03073",".07",".83999","9.00679","1.47","13.58867","499.65499","489.33999","718.59002","718.59002","767.90002","6920.95","14.126","6.82","","2.32829","2.2","0","0","11.35","1994.36999","0","0","1093.10998","2541.44995","7.92","0","1414.73999","15.87","21.33499","97.96","52.25","71.94","174.68","Transportation - Services","Transportation","NSDQ","1.17","23.43","12566.49","72.35",".7",".76","20180301","24.84","24.84","6.36","2.93","26.35","1.9","13.49","23.79","10.46","2.73","20171231","YES"
"Expedia, Inc.","EXPE",".46365",".04","1.15999","20.221",".87","34.10445","1624.04504","377.95999","416.76","598.46997","1637.35998","10059.84","3.65009","4.76","",".54197",".74",".65","39.506","38.51","6128.56005","0","3749.05004","7878.68994","5539.58007","10537.40039","0","1886.61999","2.58","7.68809","26.21","100.1","115.67","150.81","Internet - Commerce","Retail-Wholesale","NSDQ","1.04","22.06","17444.08","159.5","1.06","-.36","20180301","5.13","8.25","3","1.52","29.81","21.04","14.66","21.95","7.65","3.88","20171231","YES"
"Extra Space Storage Inc","EXR",".8956",".43","3.11999","19.398","3.43","30.83415","676.48699","479.01","502.51","661.11999","866.70001","1105.01","5.20079","44.28","",".15524",".5","1.66","62.43099","21.54","2723.80004","0","4554.20996","96.08","88.88999","0","0","2.83999","6.87","5.3442","84.71","74.13","92.02","126.11","REIT and Equity Trust - Other","Finance","NYSE","3.39","19.98","11604.57","95.25",".19","1.09","20180301","7.07","18.85","4.27","3.88","20.77","21.59","11.41","5.15","22.13","4.43","20171231","YES"
"Ford Motor Company","F","1.0045",".05",".6","8.77649","4.07","65.4047","15569","7602","8148","18385","26838","156776","2.9091","4.57","11.94499",".62343","1.23","2.89","74.31999","9.17","34918","0","102666","94600","115902","0","10277","10599","2.85","4.7279","40.8","10.24","11.46","3973.35","Automotive - Domestic","Auto-Tires-Trucks","NYSE","5.24","7.42","45534.6","13.23","1.04",".43","20180301","5.42","21.31","1.25",".7","6.33","1.91","10.76","-13.24","5.72","1.81","20171231","YES"
"Fastenal Company","FAST",".66951",".13","1.27999","9.1075","2.49","15.85902","681.70001","578.59997","873.09997","882.20001","1009.59997","4390.5","20.66799","13.13","2.13509","1.5492","5.11",".18","15.28499","7.55","2096.8999","0","412","351","1935.69995","0","1092.90002","607.79998","20.33","24.804","70.15","39.97","52.87","287.69","Building Products - Retail","Retail-Wholesale","NSDQ","2.8","21.11","15210.11","58.36","1.01",".61","20180301","23.87","28.69","7","1.51","25.42","6.4","10.81","29.79","5.76","2.08","20171231","YES"
"Facebook, Inc.","FB","11.36462",".39","0","","0","55.95576","21183","15934","20594","20594","23619","40653","13.647","45.05","",".54655","9.91","0","0","26.72","74347","0","0","3760","48563","20105","0","5832","24.62","15.19799","80.66","144.85","183.76","2905","Internet - Services","Computer and Technology","NSDQ","0","24.05","533822.81","193.09",".78","1.69","20180301","27.74","27.74","6.88",".99","27.02","50.82","47.09","24.03","78.07","6.8","20171231","YES"
"Fortune Brands Home & Security, Inc.","FBHS",".51345",".09",".72","15.31499","1.09","14.3756","612.20001","472.6","634.79998","684.20001","816.5","5283.3","7.4208","8.95","5.6991",".98791","1.44",".65","39.47299","16.16","2601.10009","0","1507.59997","906.79998","1601.69995","3074.3999","580.79998","555.29998","8.84","10.01599","14.29","54.3","56.99","145.92","Security and Safety Services","Industrial Products","NYSE","1.4","15.72","8316.14","73.13","1.41",".56","20180301","11.99","19.01","3.53","1.27","18.33","6.92","5.99","17.74","22.16","3.11","20171231","YES"
"Freeport-McMoRan Inc.","FCX","1.05498",".11","0","-63.996","2.17","142.10891","3418","1817","2902","3703","5417","16403","2.74519","12.06","3.32629",".48357","2.33",".93","48.25799","8.23","11296","0","11703","5038","10779","0","3893","1571","5.83","4.0001","63.44","11.21","16.78","1448.79","Mining - Non Ferrous","Basic Materials","NYSE","1.19","8","24310.76","19.99","2.45",".46","20180301","9.41","19.92","2.04","","11.34","-7.16","10.61","79.27","-27.89","1.48","20171231","YES"
"FedEx Corporation","FDX",".57021",".05","1.6","34.734",".67","64.67032","6325","2997","4579","5091","8086","60319","6.94859","5.82","34.221","1.27709","1.43",".85","45.88","70.53","16073","0","14909","7918","12628","7154","514","7599","7.43","11.35","70.22","187.49","248.46","267.89","Transportation - Air Freight and Cargo","Transportation","NYSE",".8","16.41","66559.85","274.32","1.39","3.72","20180201","11.44","21.65","3.52","1.29","18.19","8.31","19.76","23.07","18.93","13.66","20170531","YES"
"FirstEnergy Corporation","FE",".24307","-.12","1.44","-6.2938","4.63","72.09001","3110.80004","-1724","-829","349","2098","14017","2.43289","9.99","10.031",".31997",".46","2.32","69.41699","15.12","3925","0","21115","4077","3108","5618","463","1654","3.2","4.1409","73.34","28.16","33.25","476.91","Utility - Electric Power","Utilities","NYSE","4.33","13.98","15857.23","35.1",".24",".67","20180301","5.19","22.52","2.2","2.33","11.23","-1.9","-3.74","-22.53","-.43","2.96","20171231","YES"
"F5 Networks, Inc.","FFIV","1.21715",".2","0","","0","15.00888","478.99798","420.76","575.51","575.51","636.65002","2090.04","15.788","21.41","11.96199",".85258","1.46","0","0","20.07","1229.39001","0","0","934.59997","1459.30004","555.96002","29.82999","291.92001","18.25","27.70599","97.17","115.56","171.14","61.12","Internet - Software","Computer and Technology","NSDQ","0","17.99","10459.15","172.76","1.07","2.31","20180301","37.01","37.01","8.53","1.94","18.93","8.22","4.76","13.52","16.59","9.04","20170930","YES"
"Fidelity National Information Services, Inc.","FIS",".234",".14","1.15999","6.77029","1.56","132.2183","2893","1319","1036","1395","2805","9123","5.61439","17.46","",".36395",".98",".76","43.108","32.06","10944","0","7718","3923","3606","19408","0","2688","6.36","7.08729","95.07","82.81","103.82","331.01","Financial Transaction Services","Business Services","NYSE","1.23","19.88","34365.92","104.91",".91","1.09","20180301","8.25","14.98","3.24","1.66","22.33","12.18","-1.28","18.15","11.9","4.65","20171231","YES"
"Fiserv, Inc.","FISV",".50464",".22","0","","0","75","1536.19995","1246","1358","1534","1967","5696","9.6847","20.06","",".56936","1.05","1.55","60.77399","7.26","2731","0","4897","1938","1975","7472","0","997","11.42","12.87199","88.26","59.56","72.5","409.44","Financial Transaction Services","Business Services","NSDQ","0","23.28","29684.17","74.22",".81",".76","20180301","15.56","44.13","9.99","2.02","15.66","4.42","3.47","21.67","14.5","2.69","20171231","YES"
"Fifth Third Bancorp","FITB",".05635",".28",".6","5.61289","2.47","40.28133","2427.46411","2194","2771","3185","3526","7713","1.09879","18.25",".46612",".06071",".89","1","47.736","21.7","15054","1331","14904","108760","97395","3330","492","90774","1.11","5.306","99.63","23.62","34.31","685.5","Banks - Major Regional","Finance","NSDQ","1.87","14.02","23519.36","34.35","1.31",".57","20180301","5.12","10.45","1.58","1.78","16.9","2.68","11.96","-8.72","3.07","2.03","20171231","YES"
"Foot Locker, Inc.","FL","2.06655",".04","1.24","11.163","1.96","-57.22892","699","284","578","576","749","7782","14.78299","6.76","4.12869","1.9958","4.14","","4.7277","20.78","2519","0","125","616","2551","206","1278","0","13.49","20.01199","35.3","29.24","43.93","121.21","Retail - Apparel and Shoes","Retail-Wholesale","NYSE","3.14","9.99","5324.54","70.86",".86","1.26","20180101","18.46","19.32","2.11","1.54","10.69","4.88",".21","7.02","13.73","4.11","20180131","YES"
"FLIR Systems, Inc.","FLIR","1.69232",".06",".6","12.99499","1.38","-35.64998","333.582","107.22","279.05999","295.85998","366.86999","1800.43","9.07069","15.34","2.4051",".66762","3.91",".24","19.07399","13.02","1834.55004","0","420.67999","394.92999","1387.20996","1077.93994","372.17999","346.67999","10.24","10.993","95.54","34.1","54.44","137.21","Electronics - Military","Aerospace","NSDQ","1.18","25.3","7469.95","55.39",".69",".48","20180301","12.44","15.43","4.23","","27.22","4.69","8.32","14.44","6.31","2","20171231","YES"
"Fluor Corporation","FLR",".71064",".01",".83999","4.2592","1.46","-31.99361","494.32998","191.36999","386.44","454.07","720","19521","6.88059","1.9","13.222","2.09949","1.4",".51","33.93899","22.26","3492.38989","0","1591.58996","3574.16992","5601.25","564.67999","1458.53002","1602.75","3.98","13.06099","51.48","37.23","49.78","140.59","Engineering - R and D Services","Construction","NYSE","1.69","22.92","6998.43","61.61","1.48",".56","20180301","7.51","11.08","2.24","1","18.78","-8.05","2.55","33.25","-10.08","2.65","20171231","YES"
"Flowserve Corporation","FLS",".65794","0",".56999","7.12379","1.36","-97.99925","296.99099","2.65","263","322.73001","441.17999","3660.83","7.886","4.81","3.01959",".76943","2.29",".88","46.847","13.02","1670.94995","0","1499.65002","1242.90002","2558.73999","1428.22998","884.27001","856.71002","3.7","12.67","54.84","37.58","44.1","130.83","Manufacturing - General Industrial ","Industrial Products","NYSE","1.72","26.78","5769.76","49.47","1.46",".27","20180301","5.55","10.41","3.39","1.58","32.43","-6.94","-8.28","21.1","-18.96","1.36","20171231","YES"
